     0.112221551498692E+01     0.848236551086506E+01     0.345808266985790E+01
     0.112116110487827E+01     0.847282324276205E+01     0.345365577140974E+01
     0.112010511614714E+01     0.846326572863325E+01     0.344922714298491E+01
     0.111904750121813E+01     0.845369249872659E+01     0.344479671649504E+01
     0.111798820954192E+01     0.844410305569093E+01     0.344036442134663E+01
     0.111692718733077E+01     0.843449687212053E+01     0.343593018425117E+01
     0.111586437725753E+01     0.842487338779684E+01     0.343149392898031E+01
     0.111479971812025E+01     0.841523200659625E+01     0.342705557610890E+01
     0.111373314446372E+01     0.840557209300626E+01     0.342261504272224E+01
     0.111266458615192E+01     0.839589296818962E+01     0.341817224208656E+01
     0.111159396788312E+01     0.838619390552209E+01     0.341372708327550E+01
     0.111052120863812E+01     0.837647412551564E+01     0.340927947074592E+01
     0.110944622105008E+01     0.836673279002113E+01     0.340482930385475E+01
     0.110836891068165E+01     0.835696899558047E+01     0.340037647630520E+01
     0.110728917519258E+01     0.834718176577193E+01     0.339592087551048E+01
     0.110620690337663E+01     0.833737004235588E+01     0.339146238185936E+01
     0.110512197404175E+01     0.832753267498214E+01     0.338700086786276E+01
     0.110403425470155E+01     0.831766840916462E+01     0.338253619715943E+01
     0.110294360003753E+01     0.830777587215193E+01     0.337806822334888E+01
     0.110184985008094E+01     0.829785355622645E+01     0.337359678861380E+01
     0.110075282804970E+01     0.828789979883722E+01     0.336912172208509E+01
     0.109965233775633E+01     0.827791275879916E+01     0.336464283788479E+01
     0.109854816047889E+01     0.826789038756576E+01     0.336015993276902E+01
     0.109744005115188E+01     0.825783039426715E+01     0.335567278326280E+01
     0.109632773368760E+01     0.824773020277716E+01     0.335118114214501E+01
     0.109521089517453E+01     0.823758689847563E+01     0.334668473410786E+01
     0.109408917859982E+01     0.822739716149890E+01     0.334218325030455E+01
     0.109296217361565E+01     0.821715718205343E+01     0.333767634145573E+01
     0.109182940466406E+01     0.820686255152089E+01     0.333316360900182E+01
     0.109069031547121E+01     0.819650812031338E+01     0.332864459355922E+01
     0.108954424846073E+01     0.818608780917724E+01     0.332411875963002E+01
     0.108839041688835E+01     0.817559435383402E+01     0.331958547494101E+01
     0.108722786628357E+01     0.816501895170384E+01     0.331504398190145E+01
     0.108605541971522E+01     0.815435076051466E+01     0.331049335716454E+01
     0.108487159772317E+01     0.814357616500255E+01     0.330593245256289E+01
     0.108367449693297E+01     0.813267766541001E+01     0.330135980574400E+01
     0.108246159786331E+01     0.812163211798951E+01     0.329677349890626E+01
     0.108122944380729E+01     0.811040779577223E+01     0.329217092320337E+01
     0.107997306614859E+01     0.809895912948571E+01     0.328754835785597E+01
     0.107885650668089E+01     0.808878142519431E+01     0.328301798621542E+01
     0.107789872189194E+01     0.808004927064091E+01     0.327859452111384E+01
     0.107694043989777E+01     0.807131111657149E+01     0.327416924586808E+01
     0.107598165669036E+01     0.806256690104813E+01     0.326974213056184E+01
     0.107502236819718E+01     0.805381656147846E+01     0.326531314513996E+01
     0.107406257027973E+01     0.804506003460298E+01     0.326088225940682E+01
     0.107310225873210E+01     0.803629725648196E+01     0.325644944302451E+01
     0.107214142927949E+01     0.802752816248195E+01     0.325201466551117E+01
     0.107118007757673E+01     0.801875268726196E+01     0.324757789623943E+01
     0.107021819920664E+01     0.800997076475893E+01     0.324313910443436E+01
     0.106925578967839E+01     0.800118232817262E+01     0.323869825917136E+01
     0.106829284442584E+01     0.799238730995034E+01     0.323425532937442E+01
     0.106732935880574E+01     0.798358564177069E+01     0.322981028381367E+01
     0.106636532809601E+01     0.797477725452715E+01     0.322536309110346E+01
     0.106540074749373E+01     0.796596207831054E+01     0.322091371969964E+01
     0.106443561211334E+01     0.795714004239158E+01     0.321646213789762E+01
     0.106346991698450E+01     0.794831107520189E+01     0.321200831382914E+01
     0.106250365705014E+01     0.793947510431521E+01     0.320755221546019E+01
     0.106153682716421E+01     0.793063205642735E+01     0.320309381058799E+01
     0.106056942208896E+01     0.792178185733321E+01     0.319863306683435E+01
     0.105960143649489E+01     0.791292443191493E+01     0.319416995165784E+01
     0.105863286495482E+01     0.790405970410501E+01     0.318970443232697E+01
     0.105766370194383E+01     0.789518759687325E+01     0.318523647593318E+01
     0.105669394183612E+01     0.788630803220037E+01     0.318076604938309E+01
     0.105572357890227E+01     0.787742093105299E+01     0.317629311939477E+01
     0.105475260730656E+01     0.786852621335808E+01     0.317181765249420E+01
     0.105378102110379E+01     0.785962379797525E+01     0.316733961500878E+01
     0.105280881423716E+01     0.785071360267104E+01     0.316285897307073E+01
     0.105183598053418E+01     0.784179554408784E+01     0.315837569260319E+01
     0.105086251370394E+01     0.783286953771454E+01     0.315388973932082E+01
     0.104988840733377E+01     0.782393549785533E+01     0.314940107872414E+01
     0.104891365488570E+01     0.781499333759701E+01     0.314490967609431E+01
     0.104793824969291E+01     0.780604296877524E+01     0.314041549648805E+01
     0.104696218495597E+01     0.779708430193908E+01     0.313591850473189E+01
     0.104598545373896E+01     0.778811724631453E+01     0.313141866541670E+01
     0.104500804896541E+01     0.777914170976602E+01     0.312691594289132E+01
     0.104402996341411E+01     0.777015759875676E+01     0.312241030125644E+01
     0.104305118971473E+01     0.776116481830723E+01     0.311790170435805E+01
     0.104207172034319E+01     0.775216327195172E+01     0.311339011578020E+01
