  0.11821E+01  0.10255E+02  0.63222E+01  0.39492E+01  0.62465E+00
  0.11814E+01  0.10247E+02  0.63158E+01  0.39432E+01  0.62433E+00
  0.11808E+01  0.10239E+02  0.63095E+01  0.39372E+01  0.62401E+00
  0.11801E+01  0.10231E+02  0.63031E+01  0.39312E+01  0.62369E+00
  0.11795E+01  0.10223E+02  0.62967E+01  0.39252E+01  0.62337E+00
  0.11788E+01  0.10215E+02  0.62904E+01  0.39192E+01  0.62305E+00
  0.11782E+01  0.10207E+02  0.62840E+01  0.39132E+01  0.62273E+00
  0.11775E+01  0.10199E+02  0.62777E+01  0.39072E+01  0.62240E+00
  0.11769E+01  0.10191E+02  0.62713E+01  0.39013E+01  0.62208E+00
  0.11762E+01  0.10183E+02  0.62650E+01  0.38953E+01  0.62176E+00
  0.11756E+01  0.10175E+02  0.62586E+01  0.38893E+01  0.62144E+00
  0.11749E+01  0.10167E+02  0.62523E+01  0.38834E+01  0.62112E+00
  0.11743E+01  0.10159E+02  0.62459E+01  0.38774E+01  0.62079E+00
  0.11736E+01  0.10151E+02  0.62396E+01  0.38715E+01  0.62047E+00
  0.11730E+01  0.10144E+02  0.62332E+01  0.38655E+01  0.62015E+00
  0.11723E+01  0.10136E+02  0.62269E+01  0.38596E+01  0.61982E+00
  0.11717E+01  0.10128E+02  0.62206E+01  0.38537E+01  0.61950E+00
  0.11710E+01  0.10120E+02  0.62142E+01  0.38477E+01  0.61918E+00
  0.11704E+01  0.10112E+02  0.62079E+01  0.38418E+01  0.61886E+00
  0.11697E+01  0.10104E+02  0.62016E+01  0.38359E+01  0.61853E+00
  0.11691E+01  0.10096E+02  0.61953E+01  0.38300E+01  0.61821E+00
  0.11684E+01  0.10088E+02  0.61889E+01  0.38241E+01  0.61789E+00
  0.11678E+01  0.10080E+02  0.61826E+01  0.38181E+01  0.61756E+00
  0.11671E+01  0.10072E+02  0.61763E+01  0.38122E+01  0.61724E+00
  0.11665E+01  0.10064E+02  0.61700E+01  0.38063E+01  0.61691E+00
  0.11658E+01  0.10056E+02  0.61637E+01  0.38005E+01  0.61659E+00
  0.11652E+01  0.10048E+02  0.61574E+01  0.37946E+01  0.61627E+00
  0.11645E+01  0.10040E+02  0.61510E+01  0.37887E+01  0.61594E+00
  0.11639E+01  0.10032E+02  0.61447E+01  0.37828E+01  0.61562E+00
  0.11632E+01  0.10024E+02  0.61384E+01  0.37769E+01  0.61529E+00
  0.11626E+01  0.10017E+02  0.61321E+01  0.37711E+01  0.61497E+00
  0.11619E+01  0.10009E+02  0.61258E+01  0.37652E+01  0.61464E+00
  0.11613E+01  0.10001E+02  0.61195E+01  0.37593E+01  0.61432E+00
  0.11606E+01  0.99927E+01  0.61132E+01  0.37535E+01  0.61400E+00
  0.11600E+01  0.99848E+01  0.61069E+01  0.37476E+01  0.61367E+00
  0.11593E+01  0.99769E+01  0.61006E+01  0.37418E+01  0.61335E+00
  0.11587E+01  0.99689E+01  0.60943E+01  0.37359E+01  0.61302E+00
  0.11580E+01  0.99610E+01  0.60880E+01  0.37301E+01  0.61270E+00
  0.11574E+01  0.99531E+01  0.60817E+01  0.37243E+01  0.61237E+00
  0.11567E+01  0.99452E+01  0.60755E+01  0.37185E+01  0.61205E+00
  0.11561E+01  0.99372E+01  0.60692E+01  0.37126E+01  0.61172E+00
  0.11554E+01  0.99293E+01  0.60629E+01  0.37068E+01  0.61139E+00
  0.11548E+01  0.99214E+01  0.60566E+01  0.37010E+01  0.61107E+00
  0.11541E+01  0.99135E+01  0.60503E+01  0.36952E+01  0.61074E+00
  0.11535E+01  0.99055E+01  0.60441E+01  0.36894E+01  0.61042E+00
  0.11528E+01  0.98976E+01  0.60378E+01  0.36836E+01  0.61009E+00
